Year,State,Age group,Sex,Number of death
2001,Malaysia,Under 1 year,Male,1817
2001,Malaysia,Under 1 year,Female,1449
2001,Malaysia,1-4,Male,570
2001,Malaysia,1-4,Female,463
2001,Malaysia,5-9,Male,501
2001,Malaysia,5-9,Female,324
2001,Malaysia,10-14,Male,518
2001,Malaysia,10-14,Female,291
2001,Malaysia,15-19,Male,1433
2001,Malaysia,15-19,Female,460
2001,Malaysia,20-24,Male,1710
2001,Malaysia,20-24,Female,497
2001,Malaysia,25-29,Male,1668
2001,Malaysia,25-29,Female,546
2001,Malaysia,30-34,Male,1995
2001,Malaysia,30-34,Female,708
2001,Malaysia,35-39,Male,2371
2001,Malaysia,35-39,Female,884
2001,Malaysia,40-44,Male,2809
2001,Malaysia,40-44,Female,1313
2001,Malaysia,45-49,Male,3192
2001,Malaysia,45-49,Female,1747
2001,Malaysia,50-54,Male,3959
2001,Malaysia,50-54,Female,2228
2001,Malaysia,55-59,Male,4584
2001,Malaysia,55-59,Female,2626
2001,Malaysia,60-64,Male,5802
2001,Malaysia,60-64,Female,3759
2001,Malaysia,65-69,Male,6279
2001,Malaysia,65-69,Female,4686
2001,Malaysia,70-74,Male,6574
2001,Malaysia,70-74,Female,5945
2001,Malaysia,75-79,Male,5609
2001,Malaysia,75-79,Female,5903
2001,Malaysia,80-84,Male,4553
2001,Malaysia,80-84,Female,5240
2001,Malaysia,85 +,Male,4164
2001,Malaysia,85 +,Female,5354
2001,Johor,Under 1 year,Male,263
2001,Johor,Under 1 year,Female,208
2001,Johor,1-4,Male,77
2001,Johor,1-4,Female,45
2001,Johor,5-9,Male,56
2001,Johor,5-9,Female,49
2001,Johor,10-14,Male,64
2001,Johor,10-14,Female,34
2001,Johor,15-19,Male,192
2001,Johor,15-19,Female,58
2001,Johor,20-24,Male,242
2001,Johor,20-24,Female,58
2001,Johor,25-29,Male,232
2001,Johor,25-29,Female,64
2001,Johor,30-34,Male,287
2001,Johor,30-34,Female,97
2001,Johor,35-39,Male,333
2001,Johor,35-39,Female,106
2001,Johor,40-44,Male,399
2001,Johor,40-44,Female,169
2001,Johor,45-49,Male,396
2001,Johor,45-49,Female,232
2001,Johor,50-54,Male,516
2001,Johor,50-54,Female,282
2001,Johor,55-59,Male,537
2001,Johor,55-59,Female,295
2001,Johor,60-64,Male,689
2001,Johor,60-64,Female,462
2001,Johor,65-69,Male,692
2001,Johor,65-69,Female,531
2001,Johor,70-74,Male,766
2001,Johor,70-74,Female,718
2001,Johor,75-79,Male,655
