date,region,revenue $
2022-01-01,Utara,7270
2022-01-01,Selatan,860
2022-01-01,Pantai Timur,5390
2022-01-01,Malaysia Timur,13418
2022-01-01,Tengah,5191
2022-01-02,Utara,11964
2022-01-02,Selatan,11284
2022-01-02,Pantai Timur,5734
2022-01-02,Malaysia Timur,6265
2022-01-02,Tengah,466
2022-01-03,Utara,13526
2022-01-03,Selatan,4426
2022-01-03,Pantai Timur,5578
2022-01-03,Malaysia Timur,14423
2022-01-03,Tengah,11636
2022-01-04,Utara,11363
2022-01-04,Selatan,11111
2022-01-04,Pantai Timur,8322
2022-01-04,Malaysia Timur,1685
2022-01-04,Tengah,15668
2022-01-05,Utara,769
2022-01-05,Selatan,10583
2022-01-05,Pantai Timur,13803
2022-01-05,Malaysia Timur,6949
2022-01-05,Tengah,2433
2022-01-06,Utara,5311
2022-01-06,Selatan,5051
2022-01-06,Pantai Timur,6420
2022-01-06,Malaysia Timur,1184
2022-01-06,Tengah,4555
2022-01-07,Utara,3385
2022-01-07,Selatan,12309
2022-01-07,Pantai Timur,6396
2022-01-07,Malaysia Timur,13035
2022-01-07,Tengah,11096
2022-01-08,Utara,8666
2022-01-08,Selatan,9274
2022-01-08,Pantai Timur,2558
2022-01-08,Malaysia Timur,7849
2022-01-08,Tengah,2047
2022-01-09,Utara,2747
2022-01-09,Selatan,9167
2022-01-09,Pantai Timur,9998
2022-01-09,Malaysia Timur,189
2022-01-09,Tengah,15293
2022-01-10,Utara,2734
2022-01-10,Selatan,3005
2022-01-10,Pantai Timur,4658
2022-01-10,Malaysia Timur,1899
2022-01-10,Tengah,7734
2022-01-11,Utara,1267
2022-01-11,Selatan,15167
2022-01-11,Pantai Timur,1528
2022-01-11,Malaysia Timur,11394
2022-01-11,Tengah,3556
2022-01-12,Utara,3890
2022-01-12,Selatan,8838
2022-01-12,Pantai Timur,14356
2022-01-12,Malaysia Timur,11080
2022-01-12,Tengah,14502
2022-01-13,Utara,5393
2022-01-13,Selatan,10627
2022-01-13,Pantai Timur,8792
2022-01-13,Malaysia Timur,10555
2022-01-13,Tengah,10253
2022-01-14,Utara,8433
2022-01-14,Selatan,10233
2022-01-14,Pantai Timur,11016
2022-01-14,Malaysia Timur,7513
2022-01-14,Tengah,2612
2022-01-15,Utara,7041
2022-01-15,Selatan,9555
2022-01-15,Pantai Timur,6235
2022-01-15,Malaysia Timur,5486
2022-01-15,Tengah,7099
2022-01-16,Utara,9670
2022-01-16,Selatan,10748
2022-01-16,Pantai Timur,775
2022-01-16,Malaysia Timur,12206
2022-01-16,Tengah,8226
2022-01-17,Utara,14541
2022-01-17,Selatan,3152
2022-01-17,Pantai Timur,10147
2022-01-17,Malaysia Timur,1585
2022-01-17,Tengah,3943
2022-01-18,Utara,7555
2022-01-18,Selatan,3073
2022-01-18,Pantai Timur,1021
2022-01-18,Malaysia Timur,11653
2022-01-18,Tengah,10805
2022-01-19,Utara,13417
2022-01-19,Selatan,3843
2022-01-19,Pantai Timur,7989
2022-01-19,Malaysia Timur,9692
2022-01-19,Tengah,12990
2022-01-20,Utara,14737
2022-01-20,Selatan,6873
2022-01-20,Pantai Timur,5675
2022-01-20,Malaysia Timur,161
2022-01-20,Tengah,4297
2022-01-21,Utara,10173
2022-01-21,Selatan,995
2022-01-21,Pantai Timur,14605
2022-01-21,Malaysia Timur,13103
2022-01-21,Tengah,11534
2022-01-22,Utara,12743
2022-01-22,Selatan,7629
2022-01-22,Pantai Timur,11990
2022-01-22,Malaysia Timur,9467
2022-01-22,Tengah,1016
2022-01-23,Utara,7869
2022-01-23,Selatan,6439
2022-01-23,Pantai Timur,7892
2022-01-23,Malaysia Timur,6863
2022-01-23,Tengah,7916
2022-01-24,Utara,8529
2022-01-24,Selatan,878
2022-01-24,Pantai Timur,9268
2022-01-24,Malaysia Timur,4887
2022-01-24,Tengah,12185
2022-01-25,Utara,14552
2022-01-25,Selatan,4859
2022-01-25,Pantai Timur,6331
2022-01-25,Malaysia Timur,8571
2022-01-25,Tengah,8684
2022-01-26,Utara,7208
2022-01-26,Selatan,5276
2022-01-26,Pantai Timur,2062
2022-01-26,Malaysia Timur,12076
2022-01-26,Tengah,64
2022-01-27,Utara,8006
2022-01-27,Selatan,2568
2022-01-27,Pantai Timur,5463
2022-01-27,Malaysia Timur,13440
2022-01-27,Tengah,2027
2022-01-28,Utara,2695
2022-01-28,Selatan,9687
2022-01-28,Pantai Timur,15422
2022-01-28,Malaysia Timur,5258
2022-01-28,Tengah,5618
2022-01-29,Utara,6736
2022-01-29,Selatan,391
2022-01-29,Pantai Timur,13986
2022-01-29,Malaysia Timur,12706
2022-01-29,Tengah,14624
2022-01-30,Utara,12666
2022-01-30,Selatan,5892
2022-01-30,Pantai Timur,3561
2022-01-30,Malaysia Timur,10470
2022-01-30,Tengah,15353
2022-01-31,Utara,6184
2022-01-31,Selatan,3099
2022-01-31,Pantai Timur,6278
2022-01-31,Malaysia Timur,8392
2022-01-31,Tengah,14151
2022-02-01,Utara,13067
2022-02-01,Selatan,15265
2022-02-01,Pantai Timur,3104
2022-02-01,Malaysia Timur,7215
2022-02-01,Tengah,12790
2022-02-02,Utara,2454
2022-02-02,Selatan,11837
2022-02-02,Pantai Timur,14039
2022-02-02,Malaysia Timur,8996
2022-02-02,Tengah,14434
2022-02-03,Utara,2731
2022-02-03,Selatan,14183
2022-02-03,Pantai Timur,10965
2022-02-03,Malaysia Timur,8154
2022-02-03,Tengah,9762
2022-02-04,Utara,5056
2022-02-04,Selatan,14948
2022-02-04,Pantai Timur,8110
2022-02-04,Malaysia Timur,13773
2022-02-04,Tengah,10882
2022-02-05,Utara,3840
2022-02-05,Selatan,1028
2022-02-05,Pantai Timur,7385
2022-02-05,Malaysia Timur,502
2022-02-05,Tengah,6910
2022-02-06,Utara,12685
2022-02-06,Selatan,9062
2022-02-06,Pantai Timur,6938
2022-02-06,Malaysia Timur,4488
2022-02-06,Tengah,206
2022-02-07,Utara,5134
2022-02-07,Selatan,5977
2022-02-07,Pantai Timur,7721
2022-02-07,Malaysia Timur,7035
2022-02-07,Tengah,1484
2022-02-08,Utara,7858
2022-02-08,Selatan,863
2022-02-08,Pantai Timur,2790
2022-02-08,Malaysia Timur,7408
2022-02-08,Tengah,8755
2022-02-09,Utara,5116
2022-02-09,Selatan,12383
2022-02-09,Pantai Timur,6019
2022-02-09,Malaysia Timur,1757
2022-02-09,Tengah,14820
2022-02-10,Utara,7574
2022-02-10,Selatan,6374
2022-02-10,Pantai Timur,6892
2022-02-10,Malaysia Timur,1678
2022-02-10,Tengah,3242
2022-02-11,Utara,4636
2022-02-11,Selatan,1059
2022-02-11,Pantai Timur,6668
2022-02-11,Malaysia Timur,13471
2022-02-11,Tengah,9914
2022-02-12,Utara,11506
2022-02-12,Selatan,3157
2022-02-12,Pantai Timur,5915
2022-02-12,Malaysia Timur,10817
2022-02-12,Tengah,10921
2022-02-13,Utara,14892
2022-02-13,Selatan,9789
2022-02-13,Pantai Timur,11252
2022-02-13,Malaysia Timur,2693
2022-02-13,Tengah,13083
2022-02-14,Utara,13339
2022-02-14,Selatan,13931
2022-02-14,Pantai Timur,3627
2022-02-14,Malaysia Timur,9555
2022-02-14,Tengah,10173
2022-02-15,Utara,5450
2022-02-15,Selatan,1663
2022-02-15,Pantai Timur,9721
2022-02-15,Malaysia Timur,10230
2022-02-15,Tengah,15707
2022-02-16,Utara,5592
2022-02-16,Selatan,11494
2022-02-16,Pantai Timur,10429
2022-02-16,Malaysia Timur,7392
2022-02-16,Tengah,13696
2022-02-17,Utara,13688
2022-02-17,Selatan,1306
2022-02-17,Pantai Timur,12221
2022-02-17,Malaysia Timur,6776
2022-02-17,Tengah,10867
2022-02-18,Utara,13260
2022-02-18,Selatan,5864
2022-02-18,Pantai Timur,9474
2022-02-18,Malaysia Timur,7526
2022-02-18,Tengah,8901
2022-02-19,Utara,5575
2022-02-19,Selatan,5530
2022-02-19,Pantai Timur,12936
2022-02-19,Malaysia Timur,4413
2022-02-19,Tengah,3748
2022-02-20,Utara,15584
2022-02-20,Selatan,13545
2022-02-20,Pantai Timur,12971
2022-02-20,Malaysia Timur,663
2022-02-20,Tengah,1998
2022-02-21,Utara,7994
2022-02-21,Selatan,11637
2022-02-21,Pantai Timur,11935
2022-02-21,Malaysia Timur,13919
2022-02-21,Tengah,1495
2022-02-22,Utara,3304
2022-02-22,Selatan,3763
2022-02-22,Pantai Timur,5232
2022-02-22,Malaysia Timur,1853
2022-02-22,Tengah,13808
2022-02-23,Utara,6585
2022-02-23,Selatan,12851
2022-02-23,Pantai Timur,1291
2022-02-23,Malaysia Timur,3581
2022-02-23,Tengah,11649
2022-02-24,Utara,7554
2022-02-24,Selatan,7280
2022-02-24,Pantai Timur,1636
2022-02-24,Malaysia Timur,3696
2022-02-24,Tengah,11191
2022-02-25,Utara,11344
2022-02-25,Selatan,698
2022-02-25,Pantai Timur,10352
2022-02-25,Malaysia Timur,12289
2022-02-25,Tengah,4737
2022-02-26,Utara,14555
2022-02-26,Selatan,13877
2022-02-26,Pantai Timur,854
2022-02-26,Malaysia Timur,8164
2022-02-26,Tengah,5855
2022-02-27,Utara,7392
2022-02-27,Selatan,6528
2022-02-27,Pantai Timur,11666
2022-02-27,Malaysia Timur,13949
2022-02-27,Tengah,5249
2022-02-28,Utara,5172
2022-02-28,Selatan,1707
2022-02-28,Pantai Timur,10969
2022-02-28,Malaysia Timur,5791
2022-02-28,Tengah,9925
2022-03-01,Utara,5535
2022-03-01,Selatan,14582
2022-03-01,Pantai Timur,4931
2022-03-01,Malaysia Timur,3510
2022-03-01,Tengah,202
2022-03-02,Utara,11447
2022-03-02,Selatan,4218
2022-03-02,Pantai Timur,12688
2022-03-02,Malaysia Timur,8958
2022-03-02,Tengah,4389
2022-03-03,Utara,2327
2022-03-03,Selatan,8004
2022-03-03,Pantai Timur,2931
2022-03-03,Malaysia Timur,7777
2022-03-03,Tengah,197
2022-03-04,Utara,7125
2022-03-04,Selatan,1930
2022-03-04,Pantai Timur,11774
2022-03-04,Malaysia Timur,15087
2022-03-04,Tengah,6287
2022-03-05,Utara,8800
2022-03-05,Selatan,11464
2022-03-05,Pantai Timur,9339
2022-03-05,Malaysia Timur,4282
2022-03-05,Tengah,11589
2022-03-06,Utara,2511
2022-03-06,Selatan,15708
2022-03-06,Pantai Timur,9986
2022-03-06,Malaysia Timur,659
2022-03-06,Tengah,2811
2022-03-07,Utara,7098
2022-03-07,Selatan,14243
2022-03-07,Pantai Timur,6546
2022-03-07,Malaysia Timur,9561
2022-03-07,Tengah,1986
2022-03-08,Utara,13822
2022-03-08,Selatan,8338
2022-03-08,Pantai Timur,11411
2022-03-08,Malaysia Timur,2911
2022-03-08,Tengah,1734
2022-03-09,Utara,1843
2022-03-09,Selatan,8680
2022-03-09,Pantai Timur,2976
2022-03-09,Malaysia Timur,1959
2022-03-09,Tengah,5759
2022-03-10,Utara,6694
2022-03-10,Selatan,2385
2022-03-10,Pantai Timur,11111
2022-03-10,Malaysia Timur,4736
2022-03-10,Tengah,1802
2022-03-11,Utara,8155
2022-03-11,Selatan,8120
2022-03-11,Pantai Timur,6616
2022-03-11,Malaysia Timur,14257
2022-03-11,Tengah,14486
2022-03-12,Utara,5534
2022-03-12,Selatan,4061
2022-03-12,Pantai Timur,11561
2022-03-12,Malaysia Timur,13922
2022-03-12,Tengah,262
2022-03-13,Utara,14075
2022-03-13,Selatan,6287
2022-03-13,Pantai Timur,14681
2022-03-13,Malaysia Timur,8815
2022-03-13,Tengah,9208
2022-03-14,Utara,11835
2022-03-14,Selatan,13168
2022-03-14,Pantai Timur,2049
2022-03-14,Malaysia Timur,15232
2022-03-14,Tengah,5423
2022-03-15,Utara,14589
2022-03-15,Selatan,11915
2022-03-15,Pantai Timur,4548
2022-03-15,Malaysia Timur,3108
2022-03-15,Tengah,13471
2022-03-16,Utara,12282
2022-03-16,Selatan,7158
2022-03-16,Pantai Timur,10248
2022-03-16,Malaysia Timur,7400
2022-03-16,Tengah,3170
2022-03-17,Utara,9874
2022-03-17,Selatan,15151
2022-03-17,Pantai Timur,2255
2022-03-17,Malaysia Timur,1154
2022-03-17,Tengah,4499
2022-03-18,Utara,6295
2022-03-18,Selatan,6197
2022-03-18,Pantai Timur,11383
2022-03-18,Malaysia Timur,9888
2022-03-18,Tengah,12183
2022-03-19,Utara,12915
2022-03-19,Selatan,12874
2022-03-19,Pantai Timur,1648
2022-03-19,Malaysia Timur,5539
2022-03-19,Tengah,9637
2022-03-20,Utara,4199
2022-03-20,Selatan,12115
2022-03-20,Pantai Timur,8445
2022-03-20,Malaysia Timur,15586
2022-03-20,Tengah,11375
2022-03-21,Utara,2557
2022-03-21,Selatan,5592
2022-03-21,Pantai Timur,98
