Date,Time,Temp C
2020-01-01,00:00,24.0
2020-01-01,00:01,24.0
2020-01-01,00:02,24.0
2020-01-01,00:03,24.0
2020-01-01,00:04,24.0
2020-01-01,00:05,24.0
2020-01-01,00:06,24.0
2020-01-01,00:07,24.0
2020-01-01,00:08,24.0
2020-01-01,00:09,24.0
2020-01-01,00:10,24.0
2020-01-01,00:11,24.0
2020-01-01,00:12,24.01
2020-01-01,00:13,24.01
2020-01-01,00:14,24.01
2020-01-01,00:15,24.01
2020-01-01,00:16,24.01
2020-01-01,00:17,24.01
2020-01-01,00:18,24.01
2020-01-01,00:19,24.01
2020-01-01,00:20,24.02
2020-01-01,00:21,24.02
2020-01-01,00:22,24.02
2020-01-01,00:23,24.02
2020-01-01,00:24,24.02
2020-01-01,00:25,24.02
2020-01-01,00:26,24.03
2020-01-01,00:27,24.03
2020-01-01,00:28,24.03
2020-01-01,00:29,24.03
2020-01-01,00:30,24.03
2020-01-01,00:31,24.04
2020-01-01,00:32,24.04
2020-01-01,00:33,24.04
2020-01-01,00:34,24.04
2020-01-01,00:35,24.05
2020-01-01,00:36,24.05
2020-01-01,00:37,24.05
2020-01-01,00:38,24.05
2020-01-01,00:39,24.06
2020-01-01,00:40,24.06
2020-01-01,00:41,24.06
2020-01-01,00:42,24.07
2020-01-01,00:43,24.07
2020-01-01,00:44,24.07
2020-01-01,00:45,24.08
2020-01-01,00:46,24.08
2020-01-01,00:47,24.08
2020-01-01,00:48,24.09
2020-01-01,00:49,24.09
2020-01-01,00:50,24.09
2020-01-01,00:51,24.1
2020-01-01,00:52,24.1
2020-01-01,00:53,24.11
2020-01-01,00:54,24.11
2020-01-01,00:55,24.11
2020-01-01,00:56,24.12
2020-01-01,00:57,24.12
2020-01-01,00:58,24.13
2020-01-01,00:59,24.13
2020-01-01,01:00,24.14
2020-01-01,01:01,24.14
2020-01-01,01:02,24.15
2020-01-01,01:03,24.15
2020-01-01,01:04,24.15
2020-01-01,01:05,24.16
2020-01-01,01:06,24.16
2020-01-01,01:07,24.17
2020-01-01,01:08,24.17
2020-01-01,01:09,24.18
2020-01-01,01:10,24.19
2020-01-01,01:11,24.19
2020-01-01,01:12,24.2
2020-01-01,01:13,24.2
2020-01-01,01:14,24.21
2020-01-01,01:15,24.21
2020-01-01,01:16,24.22
2020-01-01,01:17,24.22
2020-01-01,01:18,24.23
2020-01-01,01:19,24.24
2020-01-01,01:20,24.24
2020-01-01,01:21,24.25
2020-01-01,01:22,24.25
2020-01-01,01:23,24.26
2020-01-01,01:24,24.27
2020-01-01,01:25,24.27
2020-01-01,01:26,24.28
2020-01-01,01:27,24.28
2020-01-01,01:28,24.29
2020-01-01,01:29,24.3
2020-01-01,01:30,24.3
2020-01-01,01:31,24.31
2020-01-01,01:32,24.32
2020-01-01,01:33,24.32
2020-01-01,01:34,24.33
2020-01-01,01:35,24.34
2020-01-01,01:36,24.35
2020-01-01,01:37,24.35
2020-01-01,01:38,24.36
2020-01-01,01:39,24.37
2020-01-01,01:40,24.37
2020-01-01,01:41,24.38
2020-01-01,01:42,24.39
2020-01-01,01:43,24.4
2020-01-01,01:44,24.4
2020-01-01,01:45,24.41
2020-01-01,01:46,24.42
2020-01-01,01:47,24.43
2020-01-01,01:48,24.44
2020-01-01,01:49,24.44
2020-01-01,01:50,24.45
2020-01-01,01:51,24.46
2020-01-01,01:52,24.47
2020-01-01,01:53,24.48
2020-01-01,01:54,24.48
2020-01-01,01:55,24.49
2020-01-01,01:56,24.5
2020-01-01,01:57,24.51
2020-01-01,01:58,24.52
2020-01-01,01:59,24.53
2020-01-01,02:00,24.54
2020-01-01,02:01,24.54
2020-01-01,02:02,24.55
2020-01-01,02:03,24.56
2020-01-01,02:04,24.57
2020-01-01,02:05,24.58
2020-01-01,02:06,24.59
2020-01-01,02:07,24.6
2020-01-01,02:08,24.61
2020-01-01,02:09,24.62
2020-01-01,02:10,24.63
2020-01-01,02:11,24.64
2020-01-01,02:12,24.65
2020-01-01,02:13,24.65
2020-01-01,02:14,24.66
2020-01-01,02:15,24.67
2020-01-01,02:16,24.68
2020-01-01,02:17,24.69
2020-01-01,02:18,24.7
2020-01-01,02:19,24.71
2020-01-01,02:20,24.72
2020-01-01,02:21,24.73
2020-01-01,02:22,24.74
2020-01-01,02:23,24.75
2020-01-01,02:24,24.76
2020-01-01,02:25,24.77
2020-01-01,02:26,24.78
2020-01-01,02:27,24.79
2020-01-01,02:28,24.81
2020-01-01,02:29,24.82
2020-01-01,02:30,24.83
2020-01-01,02:31,24.84
2020-01-01,02:32,24.85
2020-01-01,02:33,24.86
2020-01-01,02:34,24.87
2020-01-01,02:35,24.88
2020-01-01,02:36,24.89
2020-01-01,02:37,24.9
2020-01-01,02:38,24.91
2020-01-01,02:39,24.92
2020-01-01,02:40,24.94
2020-01-01,02:41,24.95
2020-01-01,02:42,24.96
2020-01-01,02:43,24.97
2020-01-01,02:44,24.98
2020-01-01,02:45,24.99
2020-01-01,02:46,25.0
2020-01-01,02:47,25.02
2020-01-01,02:48,25.03
2020-01-01,02:49,25.04
2020-01-01,02:50,25.05
2020-01-01,02:51,25.06
2020-01-01,02:52,25.07
2020-01-01,02:53,25.09
2020-01-01,02:54,25.1
2020-01-01,02:55,25.11
2020-01-01,02:56,25.12
2020-01-01,02:57,25.13
2020-01-01,02:58,25.15
2020-01-01,02:59,25.16
2020-01-01,03:00,25.17
2020-01-01,03:01,25.18
2020-01-01,03:02,25.2
2020-01-01,03:03,25.21
2020-01-01,03:04,25.22
2020-01-01,03:05,25.23
2020-01-01,03:06,25.25
2020-01-01,03:07,25.26
2020-01-01,03:08,25.27
2020-01-01,03:09,25.28
2020-01-01,03:10,25.3
2020-01-01,03:11,25.31
2020-01-01,03:12,25.32
2020-01-01,03:13,25.34
2020-01-01,03:14,25.35
2020-01-01,03:15,25.36
2020-01-01,03:16,25.38
2020-01-01,03:17,25.39
2020-01-01,03:18,25.4
2020-01-01,03:19,25.42
2020-01-01,03:20,25.43
2020-01-01,03:21,25.44
2020-01-01,03:22,25.46
2020-01-01,03:23,25.47
2020-01-01,03:24,25.48
2020-01-01,03:25,25.5
2020-01-01,03:26,25.51
2020-01-01,03:27,25.52
2020-01-01,03:28,25.54
2020-01-01,03:29,25.55
2020-01-01,03:30,25.56
2020-01-01,03:31,25.58
2020-01-01,03:32,25.59
